Designator,Mid X,Mid Y,Rotation,Layer
C9,129.500000,-151.600000,0.000000,Bottom
C10,129.699999,-154.800000,180.000000,Bottom
C12,117.275000,-142.400000,270.000000,Bottom
J2,117.800000,-131.750000,180.000000,Bottom
J3,107.500000,-155.950000,180.000000,Bottom
Q1,123.000000,-146.000000,180.000000,Bottom
R6,108.500000,-149.900000,0.000000,Bottom
R13,128.500000,-143.500000,90.000000,Bottom
R14,130.500000,-142.500000,90.000000,Bottom
R15,120.600000,-142.700000,270.000000,Bottom
U4,128.500000,-147.000000,180.000000,Bottom
C1,120.400000,-142.200000,180.000000,Top
C2,118.600000,-132.800000,0.000000,Top
C3,105.800000,-101.800000,180.000000,Top
C4,105.200000,-103.900000,180.000000,Top
C5,98.700000,-102.000000,90.000000,Top
C6,121.500000,-151.500000,0.000000,Top
C7,125.300000,-135.400000,0.000000,Top
C8,121.500000,-144.800000,0.000000,Top
C11,116.000000,-142.200000,0.000000,Top
D1,126.500000,-130.800000,90.000000,Top
D2,108.000000,-146.500000,90.000000,Top
D3,128.500000,-146.500000,90.000000,Top
F1,126.000000,-150.500000,0.000000,Top
H1,101.270000,-129.130000,270.000000,Top
H2,134.290000,-129.130000,270.000000,Top
J1,117.780000,-158.000000,0.000000,Top
L1,116.900000,-138.000000,90.000000,Top
R1,108.000000,-151.500000,0.000000,Top
R2,128.500000,-153.000000,0.000000,Top
R3,106.500000,-116.300000,0.000000,Top
R4,106.500000,-117.900000,0.000000,Top
R5,102.400000,-101.000000,0.000000,Top
R7,122.000000,-128.800000,90.000000,Top
R8,112.500000,-123.600000,0.000000,Top
R9,107.400000,-142.000000,270.000000,Top
R10,128.500000,-143.000000,270.000000,Top
R11,117.530000,-151.750000,270.000000,Top
R12,125.700000,-140.000000,90.000000,Top
R16,113.000000,-128.000000,270.000000,Top
R17,115.000000,-128.000000,270.000000,Top
R18,117.000000,-128.000000,270.000000,Top
R19,117.500000,-130.400000,0.000000,Top
SW1,107.500000,-158.000000,0.000000,Top
SW2,128.500000,-158.000000,0.000000,Top
U1,117.780000,-106.500000,0.000000,Top
U2,121.500000,-138.000000,0.000000,Top
U3,115.100000,-149.000000,90.000000,Top
